number,slab_id,granite_type,warehouse,location,columns_or_rows,number_columns_or_rows,date_imaged,images_taken,image_dimensions
1,11519-20,DallasWhite,UnitedStoneInternational,"Cleveland, OH",,,07-09-20,28,"{'height': 6, 'width': 8}"
2,24019-32,LunaPearl,UnitedStoneInternational,"Cleveland, OH",,,07-09-20,76,"{'height': 6, 'width': 8}"
3,11519-20,DallasWhite,UnitedStoneInternational,"Cleveland, OH",,,07-09-20,28,"{'height': 6, 'width': 8}"
4,24019-32,LunaPearl,UnitedStoneInternational,"Cleveland, OH",,,07-09-20,76,"{'height': 6, 'width': 8}"
